"No.","Time","Source","Destination","Protocol","Length","Data rate (Mb/s)","Info","Bandwidth"
"13994","871.017545","192.168.239.4","192.168.239.1","UDP","2112","","49153  >  9 Len=2048","2112"
"13995","871.017859","","00:00:00_00:00:04 (00:00:00:00:00:04) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"13996","871.018561","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1586, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13997","871.020339","192.168.239.1","192.168.239.4","UDP","2112","","9  >  49153 Len=2048","2112"
"13998","871.020597","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"13999","871.020847","192.168.239.5","192.168.239.1","UDP","1088","","49153  >  9 Len=1024","1088"
"14000","871.030057","","00:00:00_00:00:05 (00:00:00:00:00:05) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"14001","871.116800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1588, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"14002","871.219200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1589, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"14003","871.321600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1590, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"14004","871.424000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1591, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"14005","871.526400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1592, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"14006","871.628800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1593, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"14007","871.731200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1594, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"14008","871.833600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1595, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"14009","871.936000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1596, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"14010","871.981427","192.168.239.5","192.168.239.1","UDP","1088","","49153  >  9 Len=1024","1088"
"14011","871.999549","192.168.239.1","192.168.239.5","UDP","1088","","9  >  49153 Len=1024","1088"
"14012","871.999559","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"14013","872.017025","192.168.239.4","192.168.239.1","UDP","2112","","49153  >  9 Len=2048","2112"
"14014","872.017339","","00:00:00_00:00:04 (00:00:00:00:00:04) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"14015","872.019197","192.168.239.1","192.168.239.4","UDP","2112","","9  >  49153 Len=2048","2112"
"14016","872.019455","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"14017","872.019865","192.168.239.5","192.168.239.1","UDP","1088","","49153  >  9 Len=1024","1088"
"14018","872.029075","","00:00:00_00:00:05 (00:00:00:00:00:05) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"14019","872.038400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1599, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"14020","872.140800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1600, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"14021","872.243200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1601, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"14022","872.345600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1602, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
