"No.","Time","Source","Destination","Protocol","Length","Data rate (Mb/s)","Info","Bandwidth"
"468","32.153600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=353, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"469","32.256000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=354, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"470","32.358400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=355, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"471","32.460800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=356, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"472","32.563200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=357, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"473","32.665600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=358, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"474","32.768000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=359, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"475","32.870400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=360, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"476","32.972800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=361, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"477","32.981427","192.168.239.5","192.168.239.1","UDP","1088","","49153  >  9 Len=1024","1088"
"478","32.983460","","00:00:00_00:00:05 (00:00:00:00:00:05) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"479","32.984494","192.168.239.1","192.168.239.5","UDP","1088","","9  >  49153 Len=1024","1088"
"480","32.984504","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"481","33.075200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=363, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"482","33.177600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=364, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"483","33.280000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=365, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"484","33.382400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=366, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"485","33.484800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=367, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"486","33.587200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=368, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"487","33.689600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=369, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"488","33.792000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=370, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"489","33.894400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=371, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"490","33.981427","192.168.239.5","192.168.239.1","UDP","1088","","49153  >  9 Len=1024","1088"
"491","33.983460","","00:00:00_00:00:05 (00:00:00:00:00:05) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"492","33.984494","192.168.239.1","192.168.239.5","UDP","1088","","9  >  49153 Len=1024","1088"
"493","33.984504","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"494","33.996800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=373, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
