No.,Time,Length,Device IP,Day
273,0 days 00:00:36.045008839,117,192.168.239.67,1
274,0 days 00:00:36.045031709,86,192.168.239.95,1
275,0 days 00:00:36.045043651,86,192.168.239.95,1
276,0 days 00:00:36.046323366,121,192.168.239.67,1
277,0 days 00:00:36.249245313,86,192.168.239.95,1
278,0 days 00:00:36.864063092,110,192.168.239.7,1
279,0 days 00:00:36.864301963,114,192.168.239.67,1
280,0 days 00:00:36.917851710,86,192.168.239.95,1
281,0 days 00:00:37.068531645,98,192.168.239.7,1
282,0 days 00:00:37.068531860,96,192.168.239.67,1
283,0 days 00:00:37.068588268,112,192.168.239.7,1
284,0 days 00:00:37.071812387,332,192.168.239.12,1
285,0 days 00:00:37.124321817,90,192.168.239.67,1
286,0 days 00:00:37.136720422,95,192.168.239.67,1
287,0 days 00:00:37.478329463,166,192.168.239.12,1
288,0 days 00:00:37.478538174,98,192.168.239.67,1
289,0 days 00:00:37.522050267,87,192.168.239.67,1
290,0 days 00:00:37.937447169,84,192.168.239.7,1
291,0 days 00:00:37.937526826,84,192.168.239.67,1
292,0 days 00:00:37.975503255,540,192.168.239.67,1
293,0 days 00:00:37.975795189,540,192.168.239.7,1
294,0 days 00:00:38.195161669,110,192.168.239.67,1
295,0 days 00:00:38.195186629,112,192.168.239.7,1
296,0 days 00:00:38.195235517,114,192.168.239.67,1
297,0 days 00:00:38.198427285,540,192.168.239.95,1
298,0 days 00:00:38.244453578,86,192.168.239.95,1
299,0 days 00:00:38.256322439,86,192.168.239.95,1
300,0 days 00:00:38.273066778,86,192.168.239.95,1
301,0 days 00:00:38.317998330,98,192.168.239.95,1
302,0 days 00:00:38.379956086,100,192.168.239.67,1
303,0 days 00:00:38.380537191,1292,192.168.239.67,1
304,0 days 00:00:38.426654531,111,192.168.239.7,1
305,0 days 00:00:38.427619709,115,192.168.239.7,1
306,0 days 00:00:38.475577672,599,192.168.239.67,1
307,0 days 00:00:38.475577947,480,192.168.239.67,1
308,0 days 00:00:38.475784639,86,192.168.239.95,1
309,0 days 00:00:38.476543778,1292,192.168.239.67,1
310,0 days 00:00:38.482716071,1292,192.168.239.7,1
311,0 days 00:00:38.483826,227,192.168.239.7,1
312,0 days 00:00:38.484132746,620,192.168.239.7,1
313,0 days 00:00:38.487701377,599,192.168.239.67,1
314,0 days 00:00:38.488314161,480,192.168.239.7,1
315,0 days 00:00:38.488451464,86,192.168.239.95,1
316,0 days 00:00:38.497695914,86,192.168.239.95,1
317,0 days 00:00:38.517082092,580,192.168.239.7,1
318,0 days 00:00:38.517082547,183,192.168.239.7,1
319,0 days 00:00:38.517469932,96,192.168.239.7,1
320,0 days 00:00:38.526910592,89,192.168.239.67,1
321,0 days 00:00:38.552529057,95,192.168.239.7,1
322,0 days 00:00:38.632837692,341,192.168.239.67,1
323,0 days 00:00:38.633223149,97,192.168.239.67,1
324,0 days 00:00:38.695057387,86,192.168.239.67,1
